event,property_username,property_$initial_referring_domain,property_$initial_referrer,property_$screen_width,property_$referring_domain,property_distinct_id,property_$city,property_$screen_height,property_path,property_$referrer,property_mp_country_code,property_$region,property_mp_lib,property_currentTime,property_$device,property_time,property_$os,property_$browser,property_subject
Back to Inbox,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/survey,,US,Maryland,web,1404256297,,1404231098,Windows,Chrome,
Message View,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/messages/8jphhhgPjBzTnz9kQ,,US,Maryland,web,1404256299,,1404231100,Windows,Chrome,Availability for Meeting About Strategic Plan
Back to Inbox,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/survey,,US,Maryland,web,1404256301,,1404231102,Windows,Chrome,
Message View,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/messages/7yz28HYYDqTH7Kts3,,US,Maryland,web,1404256385,,1404231186,Windows,Chrome,Back from Vacation Everybody!!
Back to Inbox,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/survey,,US,Maryland,web,1404256389,,1404231190,Windows,Chrome,
Message View,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/messages/kf3Eh3HYHt9bJ7pos,,US,Maryland,web,1404256564,,1404231365,Windows,Chrome,Wait on the Marketing Report
Back to Inbox,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/survey,,US,Maryland,web,1404256566,,1404231367,Windows,Chrome,
Message View,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/messages/7n3Z6ZmeXGBFZenjR,,US,Maryland,web,1404256571,,1404231372,Windows,Chrome,This week is crazy for me
Back to Inbox,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/survey,,US,Maryland,web,1404256573,,1404231374,Windows,Chrome,
Message View,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/messages/g3YJfLeab7XzoRwNp,,US,Maryland,web,1404256574,,1404231375,Windows,Chrome,Summary has some challenges
